Completed	2018-07-02	21:40	3355.13	4	Paid
Completed	2018-07-06	22:25	5186.12	15	Paid
Completed	2018-07-09	21:55	4077.75	25	Paid
Completed	2018-07-12	22:50	1150.54	28	Paid
Cancelled	2018-07-18	13:15	2020.63	28	Unpaid
Completed	2018-07-20	20:20	2125.74	28	Paid
Completed	2018-07-23	13:05	5078.73	10	Paid
Completed	2018-07-26	17:05	5328.89	4	Paid
Completed	2018-08-01	9:45	1234.98	25	Unpaid
Completed	2018-08-04	21:25	2818.18	11	Paid
Completed	2018-08-07	10:35	3126.38	7	Paid
Completed	2018-08-11	19:00	4609.22	10	Paid
Completed	2018-08-15	14:45	4173.64	6	Unpaid
Completed	2018-08-19	18:55	5683.05	21	Paid
Completed	2018-08-22	12:50	1421.52	6	Paid
Completed	2018-08-25	16:15	3667.62	27	Paid
Cancelled	2018-08-28	9:50	2947.22	18	Paid
Completed	2018-09-03	16:45	4881.87	23	Paid
Completed	2018-09-07	18:45	2161.77	29	Paid
Completed	2018-09-10	18:50	4420.45	15	Paid
Completed	2018-09-14	13:50	5604.02	15	Unpaid
Completed	2018-09-16	20:50	4664.23	28	Paid
Completed	2018-09-18	14:50	4446.25	27	Paid
Completed	2018-09-20	16:05	4274.99	24	Paid
Completed	2018-09-24	22:55	5164.42	10	Paid
Cancelled	2018-09-27	11:00	5477.63	17	Paid
Completed	2018-10-03	22:30	2929.38	5	Unpaid
Completed	2018-10-07	11:25	2466.88	10	Paid
Completed	2018-10-15	15:05	3737.98	10	Paid
Cancelled	2018-10-19	14:20	2671.74	18	Paid
Completed	2018-10-24	9:05	1097.45	23	Paid
Completed	2018-11-05	13:35	4555.32	19	Unpaid
Scheduled	2018-11-08	18:25	5912.04	9	Unpaid
Scheduled	2018-11-11	17:00	5663.63	18	Unpaid
Scheduled	2018-11-14	22:10	3788.78	4	Unpaid
Scheduled	2018-11-17	13:20	4918.15	28	Unpaid
Scheduled	2018-11-20	15:35	2206.91	25	Unpaid
Scheduled	2018-11-28	14:25	2294.25	15	Unpaid
Scheduled	2018-12-01	10:50	1077.49	1	Unpaid
Scheduled	2018-12-04	21:00	5468.06	24	Unpaid
Scheduled	2018-12-09	10:40	3710.81	26	Unpaid
Scheduled	2018-12-12	9:40	2059.23	14	Unpaid
Scheduled	2018-12-15	13:30	1895.20	13	Unpaid
Scheduled	2018-12-18	18:20	5609.44	3	Unpaid
Scheduled	2018-12-21	11:30	4343.91	24	Unpaid
Scheduled	2018-12-22	10:05	2661.49	25	Unpaid
Requested	2018-12-26	21:50	4103.89	12	Unpaid
Scheduled	2018-12-29	17:35	1135.05	13	Unpaid
